,알밤모둠순대,albam modum sundae,アルバム・モドゥムスンデ,板栗血肠拼盘
,알밤파전,albam pajeon,アルバムパジョン,栗子葱煎饼
,알밤육회비빔밥,albam yukhoe bibimbap,アルバムユッケ・ビビンパプ,板栗生牛肉拌饭
,알프스소시지,Alps sausage,アルプスソシジ,阿尔卑斯香肠
,안심,ansim,アンシム,牛里脊
,안심스테이크,ansim steak,アンシム・ステイク,里脊排
,안심철판구이,ansim cheolpan gui,アンシム・チョルパングイ,铁板里脊
,안심스테이크와 더운야채,ansim steak wa deoun yachae,アンシムステイクワ・ドウンヤチェ,里脊猪排配热蔬菜
,안심돈가스,ansim dongaseu,アンシムドンカス,炸猪里脊
,안주류,anju ryu,アンジュリュ,下酒菜类
,안주류,anju ryu,アンジュリュ,下酒菜类
,안심편채,ansim pyeonchae,アンシンピョンチェ,里脊蔬菜卷
,안성국밥,Anseong gukbap,アンソン・グクパプ,安城汤饭
,안성쇠고기국밥,Anseong soegogi gukbap,アンソン・セゴギ・グクパプ,安城牛肉汤饭
,안성장터순두부,Anseong jangteo sundubu,アンソンジャント・スンドゥブ,安城风味嫩豆腐
,안성순두부,Anseong sundubu,アンソンスンドゥブ,安城嫩豆腐
,안창양념구이,anchang yangnyeom gui,アンチャン・ヤンニョムグイ,调味烤隔膜肉
,안창살,anchangsal,アンチャンサル,隔膜肉
,안창주물럭,anchang jumulleok,アンチャンジュムルロク,调味烤隔膜肉
,안동간고등어구이정식,Andong gangodeungeo gui jeongsik,アンドン・ガンゴドゥンオグイ・ジョンシク,安东烤盐味青花鱼套餐
,안동한우소고기국밥,Andong Hanu sogogi gukbap,アンドン・ハヌソゴギ・グクパプ,安东韩牛汤饭
,안동간고등어정식,Andong gangodeungeo jeongsik,アンドンガンゴドゥンオ・ジョンシク,安东盐味青花鱼套餐
,안동소고기국밥,Andong sogogi gukbap,アンドンソゴギ・グクパプ,安东牛肉汤饭
,안동소주,Andong soju,アンドンソジュ,安东烧酒
,"안동소주(45도,400ml)",Andong soju,アンドンソジュ,安东烧酒(45度，400毫升)
,안동찜닭,Andong jjimdak,アンドンチムダク,安东炖鸡
,안흥손찐빵,Anheung sonjjinppang,アンフンソンチンパン,安兴手工红豆包
,안흥찐빵,Anheung jjinppang,アンフンチンパン,安兴红豆包
,암뽕,amppong,アンポン,肠衣
,예송뻥과자,Yesong ppeong gwaja,イェソンポングァジャ,礼颂米饼
,옛날쥐포,yennal jwipo,イェンナルジポ,古味干细鳞鲀片
,옛날핫도그,yennal hotdog,イェンナルハットグ,古味热狗
,옛날핫도그,yennal hot dog,イェンナルハットグ,古味热狗
,이강주,Leegangju ,イガンジュ,梨姜酒
,"이강주(25도,400ml)",Leegangju ,イガンジュ,梨姜酒(25度，400毫升)
,이과두주,erguotou,イグァドゥジュ,二锅头酒
,이탈리안돈가스,Italian dongaseu,イタルリアン・ドンカス,意式炸猪排
,이탈리안비프가스,Italian beef gaseu,イタルリアン・ビプカス,意式嫩炸牛排
,이탈리안 스타일의 최상급 한우 안심스테이크,Italian style ui choesanggeup Hanu ansim steak,イタルリアンスタイレ・チェサンクプハヌアンシムステイク,意式顶级韩牛里脊排
,이대감단밤,Idaegam danbam,イデガムダンバム,李大监甘栗
